"team","ID_unit","Prob","Stratum","logsal","pitcher"
"ANA",6,0.192307692307692,1,15.8632034013295,0
"ANA",10,0.192307692307692,1,12.6165252951494,1
"ANA",13,0.192307692307692,1,13.2621253197795,0
"ANA",16,0.192307692307692,1,14.5210802585228,0
"ANA",18,0.192307692307692,1,14.9992807570135,1
"ARI",39,0.178571428571429,2,12.6603279178078,0
"ARI",41,0.178571428571429,2,16.5880992802041,1
"ARI",45,0.178571428571429,2,13.5923670066501,0
"ARI",48,0.178571428571429,2,13.8155105579643,1
"ARI",54,0.178571428571429,2,12.7218858108072,1
"ATL",64,0.178571428571429,3,15.1238433776145,0
"ATL",65,0.178571428571429,3,12.6523597481586,0
"ATL",77,0.178571428571429,3,12.7068479334427,1
"ATL",81,0.178571428571429,3,12.6915804613119,0
"ATL",82,0.178571428571429,3,13.6529916284665,1
"BAL",84,0.2,4,12.7218858108072,1
"BAL",87,0.2,4,14.2209756660724,1
"BAL",88,0.2,4,12.6280670555895,1
"BAL",90,0.2,4,14.9141228466324,1
"BAL",107,0.2,4,15.4249484703984,0
"BOS",108,0.185185185185185,5,12.714395139078,1
"BOS",109,0.185185185185185,5,13.1021606700868,0
"BOS",110,0.185185185185185,5,12.6410965558799,0
"BOS",125,0.185185185185185,5,14.5574479026937,0
"BOS",127,0.185185185185185,5,15.338845771345,0
"CHA",139,0.192307692307692,6,12.7367008965923,0
"CHA",149,0.192307692307692,6,12.6760762747759,0
"CHA",150,0.192307692307692,6,16.4545678875795,0
"CHA",153,0.192307692307692,6,12.7367008965923,0
"CHA",154,0.192307692307692,6,14.3607376084476,1
"CHN",167,0.172413793103448,7,14.1519827945855,1
"CHN",168,0.172413793103448,7,15.5647104127735,0
"CHN",169,0.172413793103448,7,13.3847276418718,0
"CHN",173,0.172413793103448,7,15.6346690554345,0
"CHN",183,0.172413793103448,7,15.1976294639917,1
"CIN",198,0.185185185185185,8,14.7318012898384,1
"CIN",202,0.185185185185185,8,13.4588356140255,0
"CIN",206,0.185185185185185,8,12.6115377536383,0
"CIN",208,0.185185185185185,8,12.6231368894817,1
"CIN",215,0.185185185185185,8,12.619836556453,1
"CLE",217,0.178571428571429,9,12.6657102325267,0
"CLE",225,0.178571428571429,9,12.697103641968,1
"CLE",227,0.178571428571429,9,12.6188443288208,0
"CLE",236,0.178571428571429,9,12.6897326012234,0
"CLE",239,0.178571428571429,9,14.8087623309746,1
"COL",250,0.185185185185185,10,13.0815413828841,1
"COL",251,0.185185185185185,10,13.3046849341983,1
"COL",254,0.185185185185185,10,12.6115377536383,0
"COL",264,0.185185185185185,10,12.6443275764613,0
"COL",268,0.185185185185185,10,12.8992198260901,0
"DET",276,0.192307692307692,11,15.9959280169841,0
"DET",279,0.192307692307692,11,14.9141228466324,1
"DET",283,0.192307692307692,11,12.7218858108072,0
"DET",286,0.192307692307692,11,14.8451299751454,1
"DET",296,0.192307692307692,11,13.3847276418718,1
"FLO",299,0.192307692307692,12,15.0682735264596,1
"FLO",304,0.192307692307692,12,12.8992198260901,0
"FLO",305,0.192307692307692,12,12.6443275764613,0
"FLO",306,0.192307692307692,12,14.9141228466324,0
"FLO",311,0.192307692307692,12,12.8992198260901,0
"HOU",324,0.2,13,13.8155105579643,0
"HOU",328,0.2,13,12.6362303662287,0
"HOU",329,0.2,13,12.6603279178078,0
"HOU",333,0.2,13,12.8479265317026,0
"HOU",334,0.2,13,12.8212582846204,0
"KCA",349,0.185185185185185,14,12.7656884334656,1
"KCA",350,0.185185185185185,14,14.9941655543059,1
"KCA",355,0.185185185185185,14,12.6776375553429,1
"KCA",358,0.185185185185185,14,15.2018049190842,0
"KCA",359,0.185185185185185,14,13.9108207377686,0
"LAN",376,0.208333333333333,15,14.2209756660724,1
"LAN",379,0.208333333333333,15,14.0778748224318,0
"LAN",381,0.208333333333333,15,15.0866746118305,0
"LAN",383,0.208333333333333,15,15.4249484703984,1
"LAN",390,0.208333333333333,15,14.2041685477561,1
"MIL",401,0.2,16,12.6115377536383,1
"MIL",405,0.2,16,14.9681901731658,0
"MIL",408,0.2,16,12.6443275764613,1
"MIL",420,0.2,16,12.6946526603488,0
"MIL",424,0.2,16,13.2176735572087,1
"MIN",425,0.2,17,13.5278284855125,0
"MIN",426,0.2,17,12.6362303662287,0
"MIN",440,0.2,17,16.1904163125379,1
"MIN",441,0.2,17,12.7068479334427,1
"MIN",446,0.2,17,14.28551418721,1
"MON",450,0.178571428571429,18,14.5574479026937,1
"MON",454,0.178571428571429,18,12.6115377536383,0
"MON",455,0.178571428571429,18,14.4833399305399,1
"MON",472,0.178571428571429,18,12.6507584667916,0
"MON",475,0.178571428571429,18,12.6362303662287,1
"NYA",486,0.172413793103448,19,15.0682735264596,1
"NYA",490,0.172413793103448,19,15.6072700271923,1
"NYA",491,0.172413793103448,19,14.5086577385242,0
"NYA",496,0.172413793103448,19,13.0170028617465,1
"NYA",499,0.172413793103448,19,16.2033554949091,1
"NYN",510,0.192307692307692,20,13.8155105579643,1
"NYN",521,0.192307692307692,20,12.6362303662287,0
"NYN",524,0.192307692307692,20,14.9141228466324,1
"NYN",527,0.192307692307692,20,15.184997716022,1
"NYN",530,0.192307692307692,20,13.4800378216761,0
"OAK",542,0.185185185185185,21,12.6346030265693,1
"OAK",543,0.185185185185185,21,14.6484196808994,0
"OAK",545,0.185185185185185,21,13.2176735572087,0
"OAK",546,0.185185185185185,21,12.758519943987,0
"OAK",559,0.185185185185185,21,14.9141228466324,1
"PHI",561,0.2,22,15.2971150988885,0
"PHI",565,0.2,22,13.2176735572087,0
"PHI",568,0.2,22,15.8304135785065,0
"PHI",581,0.2,22,15.8949520996441,1
"PHI",583,0.2,22,13.2621253197795,0
"PIT",588,0.185185185185185,23,12.7656884334656,1
"PIT",590,0.185185185185185,23,12.6214880844915,0
"PIT",593,0.185185185185185,23,12.6115377536383,1
"PIT",602,0.185185185185185,23,12.6791964021122,1
"PIT",611,0.185185185185185,23,14.4306961970545,0
"SDN",612,0.192307692307692,24,13.3847276418718,0
"SDN",613,0.192307692307692,24,12.7367008965923,0
"SDN",619,0.192307692307692,24,14.7318012898384,1
"SDN",620,0.192307692307692,24,15.6072700271923,0
"SDN",635,0.192307692307692,24,12.7440269366844,0
"SEA",639,0.185185185185185,25,12.6915804613119,0
"SEA",644,0.185185185185185,25,15.7434022015169,1
"SEA",645,0.185185185185185,25,15.2018049190842,1
"SEA",647,0.185185185185185,25,14.8271114696428,1
"SEA",662,0.185185185185185,25,13.8155105579643,1
"SFN",667,0.178571428571429,26,16.7058823158604,0
"SFN",671,0.178571428571429,26,12.663497492569,1
"SFN",675,0.178571428571429,26,12.7938593104323,1
"SFN",679,0.178571428571429,26,13.5923670066501,1
"SFN",680,0.178571428571429,26,12.7440269366844,0
"SLN",700,0.192307692307692,27,13.7101500423064,1
"SLN",701,0.192307692307692,27,14.3461388090264,1
"SLN",704,0.192307692307692,27,12.6115377536383,0
"SLN",707,0.192307692307692,27,12.6115377536383,1
"SLN",711,0.192307692307692,27,15.9701755208817,0
"TBA",728,0.192307692307692,28,12.619836556453,1
"TBA",733,0.192307692307692,28,12.6603279178078,1
"TBA",735,0.192307692307692,28,14.3751263458997,0
"TBA",742,0.192307692307692,28,12.6523597481586,1
"TBA",743,0.192307692307692,28,12.619836556453,1
"TEX",749,0.185185185185185,29,12.6760762747759,1
"TEX",762,0.185185185185185,29,16.4545678875795,1
"TEX",764,0.185185185185185,29,15.0682735264596,1
"TEX",766,0.185185185185185,29,14.7318012898384,1
"TEX",768,0.185185185185185,29,15.5019095115345,0
"TOR",772,0.192307692307692,30,14.3461388090264,1
"TOR",777,0.192307692307692,30,16.7961291937082,0
"TOR",781,0.192307692307692,30,13.5278284855125,0
"TOR",789,0.192307692307692,30,14.4573644441367,1
"TOR",797,0.192307692307692,30,13.5606183083355,0
